Tenant,Branch,Content Group Category,Content Group,Translation Provider Name,Translation Provider Type,Culture Group,Cultures,QE/AIPE Enabled,HPE Enabled,Vendor,TranslationFlavor
Default_Azure_1,quantum-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_1_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,LIOX,AIPE
Default_PowerBI_1,query-docs-pr.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_PowerBI_CTS,CtsDownstreamConnectorSagaTemplate,Default_PowerBI_MT_24,"cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sk-SK,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_PowerBI_1,query-docs-pr.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_PowerBI_CTS,CtsDownstreamConnectorSagaTemplate,Default_PowerBI_MT_24,"cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sk-SK,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_PowerBI_1,query-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_PowerBI_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,LIOX,AIPE
Default_PowerBI_1,query-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_PowerBI_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",TRUE,FALSE,RWS,AIPE
Default_PowerBI_1,query-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_PowerBI_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_MT_6,"da-DK,el-GR,fi-FI,nb-NO,sk-SK,th-TH",FALSE,FALSE,TransPerfect,MT
Default_Azure_2,RECON.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_Azure_2,RECON.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_Azure_2,RECON.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_2_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",TRUE,FALSE,LIOX,AIPE
Default_Azure_2,RECON.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_2_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,RWS,AIPE
